T_ang,A_ang,E_ang,Out_ang,T_vel,A_vel,E_vel,P_vel,I_vel,D_vel,M1,M2,M3,M4
20,18.7,1.3,2.6,2.6,-0.34,2.94,0.29,404.8,0,150,352,352,150
20,18.69,1.31,2.61,2.61,0.34,2.28,0.23,406.06,-0.03,150,353,353,150
20,18.78,1.22,2.44,2.44,1.23,1.21,0.12,406.81,0.01,150,353,353,150
20,18.91,1.09,2.19,2.19,1.01,1.18,0.12,407.27,0.06,150,353,353,150
20,18.93,1.07,2.15,2.15,-0.45,2.59,0.26,408.19,0.02,150,354,354,150
20,18.83,1.17,2.33,2.33,-0.78,3.11,0.31,409.72,-0.03,150,355,355,150
20,18.74,1.26,2.52,2.52,-0.11,2.63,0.26,411.32,-0.1,150,355,355,150
20,18.77,1.23,2.46,2.46,0.9,1.56,0.16,412.37,0,150,356,356,150
20,18.9,1.1,2.19,2.19,1.23,0.96,0.1,412.79,0.01,150,356,356,150
20,18.9,1.1,2.21,2.21,-1.23,3.44,0.34,413.84,0.09,150,357,357,150
20,18.76,1.24,2.48,2.48,-0.67,3.15,0.31,415.67,-0.05,150,357,357,150
20,18.83,1.17,2.33,2.33,1.57,0.77,0.08,416.54,0.01,150,358,358,150
25,19,6,1.99,1.99,0.9,1.1,0.11,416.74,0.02,150,358,358,150
25,18.97,6.03,12.07,12.07,-1.12,13.18,1.32,422.94,0.07,150,362,362,150
25,18.91,6.09,12.18,12.18,0.11,12.07,1.21,429.3,-0.05,150,365,365,150
25,19.05,5.95,11.9,11.9,1.68,10.22,1.02,434.58,0.01,150,367,367,150
25,19.18,5.82,11.64,11.64,0.67,10.97,1.1,439.82,0.01,150,370,370,150
25,19.18,5.82,11.64,11.64,0,11.64,1.16,445.68,-0.02,150,373,373,150
25,19.23,5.77,11.54,11.54,1.23,10.31,1.03,451.25,-0.07,150,376,376,150
25,19.42,5.58,11.16,11.16,2.01,9.14,0.91,455.97,0.01,150,378,378,150
25,19.53,5.47,10.93,10.93,0.56,10.37,1.04,460.99,0,150,381,381,150
25,19.65,5.35,10.71,10.71,1.12,9.59,0.96,465.9,-0.02,150,383,383,150
25,19.92,5.08,10.15,10.15,3.69,6.46,0.65,469.85,-0.12,150,385,385,150
25,20.29,4.71,9.43,9.43,3.92,5.51,0.55,472.75,0,150,386,386,150
25,20.56,4.44,8.89,8.89,1.68,7.21,0.72,476.01,0.04,150,388,388,150
25,20.68,4.32,8.63,8.63,1.57,7.06,0.71,479.71,0,150,390,390,150
25,20.82,4.18,8.36,8.36,0.9,7.46,0.75,483.32,0,150,392,392,150
25,20.88,4.12,8.23,8.23,0.67,7.56,0.76,487.11,0,150,393,393,150
25,20.95,4.05,8.1,8.1,0.56,7.54,0.75,490.84,0,150,395,395,150
25,21,4,7.99,7.99,0.22,7.77,0.78,494.51,0,150,397,397,150
25,20.99,4.01,8.02,8.02,0.11,7.91,0.79,498.57,-0.03,150,399,399,150
25,20.99,4.01,8.02,8.02,0,8.02,0.8,502.49,0,150,401,401,150
25,20.61,4.39,8.79,8.79,-7.83,16.62,1.66,508.56,0,150,405,405,150
25,19.33,5.67,11.33,11.33,-15.44,26.77,2.68,520.07,0,150,411,411,150
25,17.56,7.44,14.88,14.88,-19.92,34.8,3.48,535.6,0,150,419,419,150
25,15.41,9.59,19.19,19.19,-21.71,40.9,4.09,555.01,0,150,429,429,150
25,13.73,11.27,22.55,22.55,-9.74,32.28,3.23,573.84,-0.01,150,438,438,150
25,13.55,11.45,22.9,22.9,4.7,18.2,1.82,586.12,0,150,443,443,150
25,14.68,10.32,20.64,20.64,14.44,6.21,0.62,591.2,0,150,445,445,150
25,15.9,9.1,18.2,18.2,6.49,11.71,1.17,595.06,0.39,150,448,448,150
25,14.86,10.14,20.28,20.28,-7.61,27.89,2.79,618.23,-0.14,150,460,460,150
25,14.48,10.52,21.04,21.04,-1.34,22.38,2.24,630.8,0,150,466,466,150
25,14.9,10.1,20.19,20.19,7.83,12.36,1.24,638.93,0,150,470,470,150
25,15.65,9.35,18.7,18.7,4.48,14.22,1.42,645.16,0.07,150,473,473,150
25,15.79,9.21,18.42,18.42,-1.23,19.65,1.96,653.44,0.24,150,477,477,150
25,15.49,9.51,19.02,19.02,-3.36,22.38,2.24,664.28,0.02,150,483,483,150
25,15.38,9.62,19.25,19.25,1.12,18.13,1.81,674.33,0,150,488,488,150
25,15.74,9.26,18.51,18.51,4.81,13.7,1.37,681.85,0.03,150,491,491,150
25,16.15,8.85,17.69,17.69,2.57,15.12,1.51,688.89,0.04,150,495,495,150
25,16.18,8.82,17.64,17.64,-1.01,18.65,1.86,697.55,0.02,150,499,499,150
25,16.05,8.95,17.91,17.91,-1.57,19.47,1.95,707.23,0,150,504,504,150
25,16.02,8.98,17.95,17.95,1.34,16.61,1.66,716.44,-0.11,150,508,508,150
25,16.32,8.68,17.36,17.36,3.69,13.66,1.37,723.76,-0.06,150,512,512,150
25,16.55,8.45,16.9,16.9,0.9,16.01,1.6,731.23,0.06,150,516,516,150
25,16.58,8.42,16.85,16.85,-0.34,17.18,1.72,739.55,0.07,150,520,520,150
25,16.58,8.42,16.83,16.83,0.67,16.16,1.62,747.93,-0.07,150,524,524,150
25,16.69,8.31,16.62,16.62,1.01,15.61,1.56,755.74,0.01,150,528,528,150
25,16.87,8.13,16.27,16.27,2.13,14.14,1.41,763.09,-0.04,150,532,532,150
25,17.08,7.92,15.84,15.84,1.57,14.27,1.43,770.12,0.01,150,535,535,150
25,17.2,7.8,15.6,15.6,0.67,14.93,1.49,777.39,-0.02,150,539,539,150
25,17.33,7.67,15.33,15.33,1.79,13.54,1.35,784.49,-0.02,150,542,542,150
25,17.59,7.41,14.82,14.82,3.58,11.24,1.12,790.87,-0.14,150,545,545,150
25,17.9,7.1,14.2,14.2,1.9,12.3,1.23,796.59,0.06,150,548,548,150
25,17.99,7.01,14.03,14.03,0,14.03,1.4,803.27,0.03,150,552,552,150
25,18.03,6.97,13.94,13.94,0.9,13.05,1.3,810.1,-0.07,150,555,555,150
25,18.16,6.84,13.67,13.67,1.01,12.67,1.27,816.32,0.03,150,558,558,150
25,18.32,6.68,13.36,13.36,1.68,11.68,1.17,822.35,0.01,150,561,561,150
25,18.57,6.43,12.87,12.87,2.46,10.4,1.04,827.68,-0.02,150,564,564,150
25,18.79,6.21,12.41,12.41,2.35,10.06,1.01,832.88,-0.01,150,566,566,150
25,18.99,6.01,12.02,12.02,1.57,10.45,1.04,838.09,-0.01,150,569,569,150
25,19.13,5.87,11.73,11.73,1.45,10.28,1.03,843.41,-0.01,150,572,572,150
25,19.31,5.69,11.38,11.38,2.57,8.8,0.88,848.27,0,150,574,574,150
25,19.67,5.33,10.67,10.67,3.36,7.31,0.73,852.29,-0.02,150,576,576,150
25,20.04,4.96,9.92,9.92,4.59,5.33,0.53,855.55,0,150,578,578,150
25,20.65,4.35,8.69,8.69,5.48,3.21,0.32,857.65,-0.09,150,578,578,150
25,21.22,3.78,7.57,7.57,5.71,1.86,0.19,859.16,-0.14,150,579,579,150
25,21.75,3.25,6.5,6.5,4.36,2.14,0.21,860.13,-0.01,150,580,580,150
25,22.17,2.83,5.66,5.66,3.69,1.96,0.2,861.24,-0.04,150,580,580,150
25,22.53,2.47,4.94,4.94,3.36,1.59,0.16,862.39,-0.12,150,581,581,150
25,23.01,1.99,3.97,3.97,6.04,-2.07,-0.21,862.43,-0.09,150,581,581,150
25,23.85,1.15,2.3,2.3,1.12,1.18,0.12,861.92,0,150,581,581,150
25,23.87,1.13,2.26,2.26,0.9,1.36,0.14,863.28,-0.09,150,581,581,150
30,24.2,5.8,11.61,11.61,4.48,7.13,0.71,864.83,-0.03,150,582,582,150
30,24.69,5.31,10.62,10.62,7.05,3.57,0.36,868.03,-0.12,150,584,584,150
30,25.54,4.46,8.93,8.93,9.85,-0.92,-0.09,868.78,-0.06,150,584,584,150
30,26.5,3.5,7,7,8.5,-1.5,-0.15,868.11,-0.03,150,583,583,150
30,26.97,3.03,6.07,6.07,2.8,3.27,0.33,869.14,0,150,584,584,150
30,27.37,2.63,5.26,5.26,5.04,0.23,0.02,870.07,-0.09,150,584,584,150
30,27.57,2.43,4.86,4.86,1.01,3.85,0.39,871.66,0.05,150,586,586,150
30,27.48,2.52,5.03,5.03,-0.56,5.59,0.56,874.72,-0.16,150,587,587,150
30,27.57,2.43,4.86,4.86,4.7,0.16,0.02,876.63,-0.21,150,588,588,150
30,28.61,1.39,2.78,2.78,14.66,-11.88,-1.19,873.1,-0.18,150,585,585,150
25,29.87,-4.87,-9.75,-9.75,9.85,-19.6,-1.96,863.94,0.17,150,581,581,150
25,30.21,-5.21,-10.42,-10.42,-1.68,-8.74,-0.87,857.26,0.19,150,578,578,150
25,29.25,-4.25,-8.51,-8.51,-13.65,5.15,0.51,857.38,0.11,150,578,578,150
25,26.86,-1.86,-3.72,-3.72,-3.02,-0.7,-0.07,863.16,-0.12,150,581,581,150
25,26.67,-1.67,-3.34,-3.34,1.57,-4.91,-0.49,862.15,-0.11,150,580,580,150
25,26.84,-1.84,-3.67,-3.67,3.25,-6.92,-0.69,859.36,-0.03,150,579,579,150
25,27.05,-2.05,-4.1,-4.1,4.25,-8.36,-0.84,856.37,-0.31,150,577,577,150
25,27.41,-2.41,-4.82,-4.82,4.14,-8.96,-0.9,852.19,-0.11,150,575,575,150
25,27.82,-2.82,-5.63,-5.63,4.48,-10.11,-1.01,847.43,-0.06,150,573,573,150
25,27.72,-2.72,-5.44,-5.44,-5.04,-0.41,-0.04,845.16,0.15,150,572,572,150
25,26.75,-1.75,-3.5,-3.5,-10.41,6.91,0.69,847.82,-0.05,150,574,574,150
20,25.9,-5.9,-11.8,-11.8,-3.92,-7.89,-0.79,849.67,-0.26,150,574,574,150
20,26.66,-6.66,-13.33,-13.33,4.25,-17.58,-1.76,833.24,0.1,150,565,565,150
20,26.39,-6.39,-12.78,-12.78,-7.61,-5.17,-0.52,828.2,0.12,150,563,563,150
